event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score,candidate_member,member_source,member_soft_score,member_soft_reason,existing_final_member_score,existing_member_rank_within_core,existing_daily_member_matrix_rank,existing_played_flag,existing_final_play_rank,existing_final_member_score_num,lane_member_depth,member_trap_score,member_trap_rank_within_core,member_depth_keep,rank_within_stream_trap,trap_final_rank
18,2026-06-18,Illinois | Pick 4 Midday,2026-06-17,2602,2602,,026,,026,137,579,067,ALL_BALANCED,2.35698717944443,1.0,0.7,1.4042,10.0,7.0,2.35698717944443,True,99,7078,99,2026-06-17,2026-06-18,2.35698717944443,99,7078,True,6,026,026,026,1,0,2,False,False,True,False,True,WATCHED8_BURIED,1,998.8749455128055,0667,generated_from_trap_core,1.5900000000000003,same digital root; ±9 sum support; seed-sum last digit in member; digit overlap 2,0.0,,,False,,0.0,3,1017.9549455128056,1,True,1,1
39,2026-06-18,New Mexico | Pick 4 Day,2026-06-17,3837,3837,,378,,378,089,127,067,ALL_BALANCED,2.4232889837373053,1.0,0.7,1.4437,10.0,7.0,2.4232889837373053,True,90,6949,90,2026-06-17,2026-06-18,2.4232889837373053,90,6949,True,6,378,378,378,1,0,2,False,False,True,False,True,WATCHED8_BURIED,1,999.3481511443081,0667,generated_from_trap_core,0.45,sum delta <=2; mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1004.748151144308,2,True,2,21
39,2026-06-18,New Mexico | Pick 4 Day,2026-06-17,3837,3837,,378,,378,089,127,067,ALL_BALANCED,2.4232889837373053,1.0,0.7,1.4437,10.0,7.0,2.4232889837373053,True,90,6949,90,2026-06-17,2026-06-18,2.4232889837373053,90,6949,True,6,378,378,378,1,0,2,False,False,True,False,True,WATCHED8_BURIED,1,999.3481511443081,0067,generated_from_trap_core,0.27,mirror seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1002.5881511443081,3,True,3,22
61,2026-06-18,South Carolina | Pick 4 Midday,2026-06-17,5352,5352,,235,,235,057,046,567,ALL_BALANCED,2.5208113844820152,1.0,0.7,1.5018,10.0,7.0,2.5208113844820152,True,93,6774,93,2026-06-17,2026-06-18,2.5208113844820152,93,6774,True,6,235,235,235,0,0,2,False,False,True,False,True,WATCHED8_BURIED,1,997.2322839845688,5567,generated_from_trap_core,0.42,seed-sum last digit in member; digit overlap 1,0.0,,,False,,0.0,3,1002.2722839845687,3,True,3,23
29,2026-06-18,Massachusetts | Numbers Game Midday,2026-06-17,5825,5825,,258,,258,389,389,067,ALL_BALANCED,2.5974121899048757,1.0,0.7273,1.4372,11.0,8.0,2.5974121899048757,True,92,6667,92,2026-06-17,2026-06-18,2.5974121899048757,92,6667,True,6,258,258,258,0,0,3,False,False,True,False,True,WATCHED8_BURIED,1,997.8090942664667,0067,generated_from_trap_core,0.35,seed-sum last digit in member,0.0,,,False,,0.0,3,1002.0090942664667,3,True,3,24
4,2026-06-18,Atlantic Canada | Lotto 4,2026-06-17,2806,2806,,,,134,346,024,145,ALL_BALANCED,2.3645405495537455,1.0,0.7,1.4087,10.0,7.0,2.3645405495537455,True,95,7065,95,2026-06-17,2026-06-18,2.3645405495537455,95,7065,True,6,,134,,0,0,1,False,False,True,False,True,WATCHED8_BURIED,1,996.5775891923438,1455,generated_from_trap_core,0.45,sum delta <=1; mirror seed-sum last digit in member,0.0,,,False,,0.0,3,1001.9775891923438,1,True,1,25
4,2026-06-18,Atlantic Canada | Lotto 4,2026-06-17,2806,2806,,,,134,346,024,145,ALL_BALANCED,2.3645405495537455,1.0,0.7,1.4087,10.0,7.0,2.3645405495537455,True,95,7065,95,2026-06-17,2026-06-18,2.3645405495537455,95,7065,True,6,,134,,0,0,1,False,False,True,False,True,WATCHED8_BURIED,1,996.5775891923438,1445,generated_from_trap_core,0.38,sum delta <=2; mirror seed-sum last digit in member,0.0,,,False,,0.0,3,1001.1375891923437,2,True,2,26
4,2026-06-18,Atlantic Canada | Lotto 4,2026-06-17,2806,2806,,,,134,346,024,145,ALL_BALANCED,2.3645405495537455,1.0,0.7,1.4087,10.0,7.0,2.3645405495537455,True,95,7065,95,2026-06-17,2026-06-18,2.3645405495537455,95,7065,True,6,,134,,0,0,1,False,False,True,False,True,WATCHED8_BURIED,1,996.5775891923438,1145,generated_from_trap_core,0.2,mirror seed-sum last digit in member,0.0,,,False,,0.0,3,998.9775891923438,3,True,3,27
50,2026-06-18,Oregon | Pick 4 1pm,2026-06-17,5393,5393,,359,,359,027,569,027,ALL_BALANCED,19.955739559896468,6.0,0.76,1.529,151.0,108.0,19.955739559896468,True,8,656,8,2026-06-17,2026-06-18,19.955739559896468,8,656,True,1,359,359,359,3,0,3,True,True,False,False,True,WATCHED8_TRANSITION,2,914.0845088459638,0227,existing_member_matrix,1.4500000000000002,same digital root; ±9 sum support; seed-sum last digit in member,40.931250000000006,1,2,True,2,40.931250000000006,3,937.6241963459638,1,True,1,28
26,2026-06-18,Maryland | Pick 4 Evening,2026-06-17,5686,5686,,568,,568,129,247,145,ALL_BALANCED,26.58691061174038,9.0,1.0,1.9845,103.0,78.0,26.58691061174038,True,3,269,3,2026-06-17,2026-06-18,26.58691061174038,3,269,True,1,568,568,568,3,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,918.1554187141091,1455,existing_member_matrix,0.97,±10 sum support; seed-sum last digit in member; digit overlap 1,40.75625,1,7,True,6,40.75625,3,935.9088562141092,1,True,1,29
8,2026-06-18,Delaware | Play 4 Day,2026-06-17,6364,6364,,346,,346,035,348,679,ALL_BALANCED,12.113063273166459,4.0,0.7692,1.5167,71.0,52.0,12.113063273166459,True,25,1940,25,2026-06-17,2026-06-18,12.113063273166459,25,1940,True,2,346,346,346,3,0,7,True,True,False,True,True,WATCHED8_TRANSITION,2,912.4895721456082,6679,existing_member_matrix,1.5200000000000002,same digital root; ±9 sum support; seed-sum last digit in member; digit overlap 1,30.2,1,330,False,,30.2,3,935.2595721456082,1,True,1,30
